Filter Number,Filtering Date,Site,Replicate,Volume Filtered (mL),Combined Sample?,qpcr date,pos,no.reps.pos,cq1,cq2,cq3,cq4,cq5,cq6,cq7,cq8,notes,plate
F-003,6/9/2021,BURNPD,Control,1000,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-004,6/9/2021,BURNPD-01,R1,800,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-005,6/9/2021,BURNPD-01,R2,650,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-006,6/9/2021,BURNPD-02,R1,700,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-007,6/9/2021,BURNPD-02,R2,600,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-008,6/11/2021,SPECPD,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-009,6/11/2021,SPECPD,R2,600,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-010,6/11/2021,SPECPD,R1,600,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-011,6/11/2021,OSSIPE,Control,1150,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-012,6/11/2021,OSSIPE,R1,600,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-013,6/11/2021,OSSIPE,R2,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-014,6/15/2021,JORDAN,Control,1150,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-015,6/15/2021,JORDAN,R1,900,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-016,6/15/2021,JORDAN,R2,900,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-017,6/15/2021,PRESUM,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-018,6/15/2021,PRESUM-01,R1,1000,No,2021,Y,"2/4, 2/4",999,999,38.91,41.09,39.31,999,40,999,Separated site into PRESUM-01 and PRESUM-02 to reflect barrier (river) between bridle shiner subpopulations,1
F-019,6/15/2021,PRESUM-02,R1,1000,No,2021,Y,"1/4, 3/4",999,41.37,999,999,39,38.77,999,38.65,Separated site into PRESUM-01 and PRESUM-02 to reflect barrier (river) between bridle shiner subpopulations,1
F-020,6/17/2021,SACONO,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-021+F-022,6/17/2021,SACONO-01,R1,800,Yes,2021,N,,999,999,999,999,NA,NA,NA,NA,2 filters,1
F-023,6/17/2021,BARKER,Control,1200,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-024+F-025,6/17/2021,BARKER,R1,550,Yes,2021,Y,4/4.,39.3,39.22,40.04,40.28,NA,NA,NA,NA,2 filters,1
F-026,6/17/2021,SACONO-02,R1,325,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,1
F-027,6/17/2021,SACONO-01,R2,600,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-028,6/17/2021,BARKER,R2,600,No,2021,Y,4/4.,39.15,38.36,40.07,38.46,NA,NA,NA,NA,,2
F-029,6/17/2021,SACONO-02,R2,250,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-030,6/19/2021,MARBRK,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-031,6/19/2021,MARBRK,R1,450,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-032,6/19/2021,MARBRK,R2,450,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-033,6/29/2021,STANPD,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-034,6/29/2021,STANPD-01,R1,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-035,6/29/2021,STANPD-01,R2,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-036,6/29/2021,SACOSO,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-037,6/29/2021,SACOSO,R1,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-038,6/29/2021,SACOSO,R2,1150,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-039,6/29/2021,TRAFPD,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-040,6/29/2021,TRAFPD-01,R1,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-041,6/29/2021,TRAFPD-01,R2,1000,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-042+F-043,6/29/2021,STANPD-02,R1,700,Yes,2021,N,,999,999,999,999,NA,NA,NA,NA,2 filters,2
F-044,6/29/2021,STANPD-02,R2,700,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-045,7/1/2021,GWORKN,Control,1050,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-046,7/1/2021,GWORKN,R1,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-047,7/1/2021,GWORKN,R2,1175,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-048,7/1/2021,GWORKB,Control,1075,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-049,7/1/2021,GWORKB,R1,1150,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,2
F-050,7/1/2021,GWORKB,R2,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-051,7/1/2021,GWORKS,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-052,7/1/2021,GWORKS,R1,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-053,7/1/2021,GWORKS,R2,1150,No,2021,Y,1/4.,40.36,999,999,999,NA,NA,NA,NA,,3
F-054,7/1/2021,SFALLS,Control,1050,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-055,7/1/2021,SFALLS,R1,1175,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-056,7/1/2021,SFALLS,R2,1150,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-057,7/1/2021,LITTLR,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-058+F059,7/1/2021,LITTLR,R1,1000,Yes,2021,N,,999,999,999,999,NA,NA,NA,NA,2 filters,3
F-060+F-061,7/1/2021,LITTLR,R2,1000,Yes,2021,N,,999,999,999,999,NA,NA,NA,NA,2 filters,3
F-062,7/5/2021,BROBRK,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-063,7/5/2021,BROBRK,R1,1150,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-064,7/5/2021,BROBRK,R2,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-065,7/7/2021,OCSACO,Control,1150,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-066,7/7/2021,OCSACO,R1,900,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-067,7/7/2021,OCSACO,R2,900,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-068,7/7/2021,KIMBAL,Control,1150,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-069,7/7/2021,KIMBAL,R2,900,No,2021,Y,"1/4, 1/4",999,999,999,48.34,999,45.65,999,999,"Originally run and pcr4 had a late amplification (48.34). Rerun and pcr2 had a more definite amplification, considered positive.",3
F-070,7/7/2021,PROCPD,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-071,7/7/2021,PROCPD-01,R1,1000,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-072,7/7/2021,PROCPD-01,R2,1000,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-073,7/7/2021,PROCPD-02,R1,900,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,3
F-074,7/7/2021,PROCPD-02,R2,900,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-075,7/7/2021,KIMBAL,R1,900,No,2021,Y,1/4.,999,999,39.43,999,NA,NA,NA,NA,copy and paste error from last data delivery. ,4
F-076,7/9/2021,HIGHLK-02,R1,1000,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-077,7/9/2021,HIGHLK-02,R2,1000,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-078,7/9/2021,HIGHLK-04,R1,1000,No,2021,Y,2/4.,37.06,999,37.09,999,NA,NA,NA,NA,,4
F-079,7/9/2021,HIGHLK-04,R2,1000,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-080,7/9/2021,CROOKR,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-081,7/9/2021,CROOKR,R1,1150,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-082,7/9/2021,CROOKR,R2,1175,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-083,7/9/2021,HIGHLK,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-084,7/9/2021,HIGHLK-03,R1,1150,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-085,7/9/2021,HIGHLK-03,R2,1175,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-086,7/13/2021,BEARPD,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-087,7/13/2021,BEARPD-01,R1,900,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-088,7/13/2021,BEARPD-01,R2,1000,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-089,7/13/2021,BEARPD-02,R1,1000,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-090,7/13/2021,BEARPD-02,R2,1150,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-091,7/13/2021,LITTLP-01,R1,84,No,2021,N,,999,999,999,999,NA,NA,NA,NA,"Exclude from analysis: algal bloom, couldn't filter",4
F-092,7/13/2021,WATBRK,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-093,7/13/2021,WATBRK,R1,1175,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-094,7/13/2021,LITTLP,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,4
F-096,7/15/2021,SEBAGO,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-097,7/15/2021,SEBAGO-06,R1,1075,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-098+F-099,7/15/2021,SEBAGO-06,R2,1000,Yes,2021,N,,999,999,999,999,NA,NA,NA,NA,2 filters,5
F-100,7/15/2021,SEBAGO-01,R1,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-101,7/15/2021,SEBAGO-01,R2,1000,No,2021,Y,1/4.,999,999,999,37.91,NA,NA,NA,NA,,5
F-102,7/15/2021,SEBAGO-03,R2,1000,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-103+F-104,7/15/2021,SEBAGO-03,R1,1175,Yes,2021,N,,999,999,999,999,NA,NA,NA,NA,2 filters,5
F-105+F-106,7/15/2021,SEBAGO-04,R1,1200,Yes,2021,N,,999,999,999,999,NA,NA,NA,NA,2 filters,5
F-107+F-108,7/15/2021,SEBAGO-04,R2,1200,Yes,2021,N,,999,999,999,999,NA,NA,NA,NA,2 filters,5
F-109,7/17/2021,PISCAT,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-110,7/17/2021,PISCAT,R1,1150,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-111,7/17/2021,PISCAT,R2,1175,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-112,7/17/2021,BOOMBR,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-113,7/17/2021,BOOMBR,R1,1000,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-115,7/17/2021,BOOMBR,R2,1000,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-116,7/17/2021,OSSIPM,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-117,7/17/2021,OSSIPM,R1,1100,No,2021,Y,2/4.,40.73,999,999,41.07,NA,NA,NA,NA,,5
F-118,7/17/2021,OSSIPM,R2,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-119,7/17/2021,JOSIES,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-120+F-121,7/17/2021,JOSIES,R1,1100,Yes,2021,N,,999,999,999,999,NA,NA,NA,NA,2 filters,5
F-122+F-123,7/17/2021,JOSIES,R2,1200,Yes,2021,N,,999,999,999,999,NA,NA,NA,NA,2 filters,5
F-124,10/5/2021,WATBRK,Control,500,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,5
F-125,10/5/2021,WATBRK,R1,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-126,10/5/2021,WATBRK,R2,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-127,10/5/2021,WATBRK,R3,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-128,10/5/2021,OSSIPE,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-129,10/5/2021,OSSIPE,R1,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-130,10/5/2021,OSSIPE,R2,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-131,10/5/2021,OSSIPE,R3,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-132,10/5/2021,PRESUM-01,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-133,10/5/2021,PRESUM-01,R1,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-134,10/5/2021,PRESUM-01,R2,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-135,10/5/2021,PRESUM-01,R3,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-136,11/15/2021,PRESUM-01,Control,1050,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-137,11/15/2021,PRESUM-01,R1,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-138,11/15/2021,PRESUM-01,R2,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-139,11/15/2021,PRESUM-01,R3,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-140,11/15/2021,OSSIPE,Control,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-141,11/15/2021,OSSIPE,R1,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-142,11/15/2021,OSSIPE,R2,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,6
F-143,11/15/2021,OSSIPE,R3,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,7
F-144,11/15/2021,WATBRK,Control,1050,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,7
F-145,11/15/2021,WATBRK,R1,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,7
F-146,11/15/2021,WATBRK,R2,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,7
F-147,11/15/2021,WATBRK,R3,1100,No,2021,N,,999,999,999,999,NA,NA,NA,NA,,7
F-148,1/7/2022,WATBRK,Control,1050,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-149,1/7/2022,WATBRK,R1,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-150,1/7/2022,WATBRK,R2,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-151,1/7/2022,WATBRK,R3,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-152,1/7/2022,OSSIPE,Control,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-153,1/7/2022,OSSIPE,R1,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-154,1/7/2022,OSSIPE,R2,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-155,1/7/2022,OSSIPE,R3,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-156,1/7/2022,PRESUM-01,Control,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-157,1/7/2022,PRESUM-01,R1,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-158,1/7/2022,PRESUM-01,R2,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-159,1/7/2022,PRESUM-01,R3,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-160,2/13/2022,WATBRK,Control,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-161,2/13/2022,WATBRK,R1,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-162,2/13/2022,WATBRK,R2,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-163,2/13/2022,WATBRK,R3,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-164,2/13/2022,OSSIPE,Control,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-165,2/13/2022,OSSIPE,R1,1150,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-166,2/13/2022,OSSIPE,R2,1150,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-167,2/13/2022,OSSIPE,R3,1150,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-168,2/13/2022,PRESUM-01,Control,1050,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-169,2/13/2022,PRESUM-01,R1,1150,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,8
F-170,2/13/2022,PRESUM-01,R2,1150,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-171,2/13/2022,PRESUM-01,R3,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-172,3/27/2022,WATBRK,Control,1075,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-173,3/27/2022,WATBRK,R1,1150,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-174,3/27/2022,WATBRK,R2,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-175,3/27/2022,WATBRK,R3,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-176,3/27/2022,OSSIPE,Control,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-177,3/27/2022,OSSIPE,R1,1050,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-178,3/27/2022,OSSIPE,R2,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-179,3/27/2022,OSSIPE,R3,1150,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-180,3/27/2022,PRESUM-01,Control,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-181,3/27/2022,PRESUM-01,R1,1050,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-182,3/27/2022,PRESUM-01,R2,1150,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-183,3/27/2022,PRESUM-01,R3,1150,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-184,5/13/2022,WATBRK,Control,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-185,5/13/2022,WATBRK,R1,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-186,5/13/2022,WATBRK,R2,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-187,5/13/2022,WATBRK,R3,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-188,5/13/2022,OSSIPE,Control,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-189,5/13/2022,OSSIPE,R1,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-190,5/13/2022,OSSIPE,R2,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-191,5/13/2022,OSSIPE,R3,1100,No,2022,N,,999,999,999,999,NA,NA,NA,NA,,9
F-192,5/13/2022,PRESUM-01,Control,1100,No,2023,N,,999,999,999,999,NA,NA,NA,NA,,10
F-193,5/13/2022,PRESUM-01,R1,1150,No,2023,N,,999,999,999,999,NA,NA,NA,NA,,10
F-194,5/13/2022,PRESUM-01,R2,1100,No,2023,N,,999,999,999,999,NA,NA,NA,NA,,10
F-195,5/13/2022,PRESUM-01,R3,1000,No,2023,N,,999,999,999,999,NA,NA,NA,NA,,10
F-196,6/17/2022,WATBRK,Control,1100,No,2023,N,,999,999,999,999,NA,NA,NA,NA,,10
F-197,6/17/2022,WATBRK,R1,1100,No,2023,N,,999,999,999,999,NA,NA,NA,NA,,10
F-198,6/17/2022,WATBRK,R2,1100,No,2023,N,,999,999,999,999,NA,NA,NA,NA,,10
