"Filter.Number","Filtering.Date","Site","Replicate","Volume.Filtered..mL.","Combined.Sample.","qpcr.date","pos","no.reps.pos","cq1","cq2","cq3","cq4","cq5","cq6","cq7","cq8","notes","plate","pres_cq1","pres_cq2","pres_cq3","pres_cq4","pres_cq5","pres_cq6","pres_cq7","pres_cq8"
"F-004",2021-06-09,"BURNPD-01","R1",800,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","1",0,0,0,0,NA,NA,NA,NA
"F-005",2021-06-09,"BURNPD-01","R2",650,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","1",0,0,0,0,NA,NA,NA,NA
"F-006",2021-06-09,"BURNPD-02","R1",700,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","1",0,0,0,0,NA,NA,NA,NA
"F-007",2021-06-09,"BURNPD-02","R2",600,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","1",0,0,0,0,NA,NA,NA,NA
"F-009",2021-06-11,"SPECPD","R2",600,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","1",0,0,0,0,NA,NA,NA,NA
"F-010",2021-06-11,"SPECPD","R1",600,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","1",0,0,0,0,NA,NA,NA,NA
"F-015",2021-06-15,"JORDAN","R1",900,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","1",0,0,0,0,NA,NA,NA,NA
"F-016",2021-06-15,"JORDAN","R2",900,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","1",0,0,0,0,NA,NA,NA,NA
"F-019",2021-06-15,"PRESUM-02","R1",1000,"No","2021","Y","1/4, 3/4",999,41.37,999,999,39,38.77,999,38.65,"Separated site into PRESUM-01 and PRESUM-02 to reflect barrier (river) between bridle shiner subpopulations","1",0,1,0,0,1,1,0,1
"F-021+F-022",2021-06-17,"SACONO-01","R1",800,"Yes","2021","N","",999,999,999,999,NA,NA,NA,NA,"2 filters","1",0,0,0,0,NA,NA,NA,NA
"F-026",2021-06-17,"SACONO-02","R1",325,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","1",0,0,0,0,NA,NA,NA,NA
"F-027",2021-06-17,"SACONO-01","R2",600,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-029",2021-06-17,"SACONO-02","R2",250,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-031",2021-06-19,"MARBRK","R1",450,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-032",2021-06-19,"MARBRK","R2",450,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-034",2021-06-29,"STANPD-01","R1",1100,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-035",2021-06-29,"STANPD-01","R2",1100,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-037",2021-06-29,"SACOSO","R1",1100,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-038",2021-06-29,"SACOSO","R2",1150,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-040",2021-06-29,"TRAFPD-01","R1",1100,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-041",2021-06-29,"TRAFPD-01","R2",1000,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-042+F-043",2021-06-29,"STANPD-02","R1",700,"Yes","2021","N","",999,999,999,999,NA,NA,NA,NA,"2 filters","2",0,0,0,0,NA,NA,NA,NA
"F-044",2021-06-29,"STANPD-02","R2",700,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-046",2021-07-01,"GWORKN","R1",1100,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-047",2021-07-01,"GWORKN","R2",1175,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-049",2021-07-01,"GWORKB","R1",1150,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","2",0,0,0,0,NA,NA,NA,NA
"F-050",2021-07-01,"GWORKB","R2",1100,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","3",0,0,0,0,NA,NA,NA,NA
"F-052",2021-07-01,"GWORKS","R1",1100,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","3",0,0,0,0,NA,NA,NA,NA
"F-053",2021-07-01,"GWORKS","R2",1150,"No","2021","Y","1/4.",40.36,999,999,999,NA,NA,NA,NA,"","3",1,0,0,0,NA,NA,NA,NA
"F-055",2021-07-01,"SFALLS","R1",1175,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","3",0,0,0,0,NA,NA,NA,NA
"F-056",2021-07-01,"SFALLS","R2",1150,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","3",0,0,0,0,NA,NA,NA,NA
"F-058+F059",2021-07-01,"LITTLR","R1",1000,"Yes","2021","N","",999,999,999,999,NA,NA,NA,NA,"2 filters","3",0,0,0,0,NA,NA,NA,NA
"F-060+F-061",2021-07-01,"LITTLR","R2",1000,"Yes","2021","N","",999,999,999,999,NA,NA,NA,NA,"2 filters","3",0,0,0,0,NA,NA,NA,NA
"F-063",2021-07-05,"BROBRK","R1",1150,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","3",0,0,0,0,NA,NA,NA,NA
"F-064",2021-07-05,"BROBRK","R2",1100,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","3",0,0,0,0,NA,NA,NA,NA
"F-066",2021-07-07,"OCSACO","R1",900,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","3",0,0,0,0,NA,NA,NA,NA
"F-067",2021-07-07,"OCSACO","R2",900,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","3",0,0,0,0,NA,NA,NA,NA
"F-069",2021-07-07,"KIMBAL","R2",900,"No","2021","Y","1/4, 1/4",999,999,999,48.34,999,45.65,999,999,"Originally run and pcr4 had a late amplification (48.34). Rerun and pcr2 had a more definite amplification, considered positive.","3",0,0,0,1,0,1,0,0
"F-071",2021-07-07,"PROCPD-01","R1",1000,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","3",0,0,0,0,NA,NA,NA,NA
"F-072",2021-07-07,"PROCPD-01","R2",1000,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","3",0,0,0,0,NA,NA,NA,NA
"F-073",2021-07-07,"PROCPD-02","R1",900,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","3",0,0,0,0,NA,NA,NA,NA
"F-074",2021-07-07,"PROCPD-02","R2",900,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","4",0,0,0,0,NA,NA,NA,NA
"F-075",2021-07-07,"KIMBAL","R1",900,"No","2021","Y","1/4.",999,999,39.43,999,NA,NA,NA,NA,"copy and paste error from last data delivery. ","4",0,0,1,0,NA,NA,NA,NA
"F-076",2021-07-09,"HIGHLK-02","R1",1000,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","4",0,0,0,0,NA,NA,NA,NA
"F-077",2021-07-09,"HIGHLK-02","R2",1000,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","4",0,0,0,0,NA,NA,NA,NA
"F-078",2021-07-09,"HIGHLK-04","R1",1000,"No","2021","Y","2/4.",37.06,999,37.09,999,NA,NA,NA,NA,"","4",1,0,1,0,NA,NA,NA,NA
"F-079",2021-07-09,"HIGHLK-04","R2",1000,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","4",0,0,0,0,NA,NA,NA,NA
"F-081",2021-07-09,"CROOKR","R1",1150,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","4",0,0,0,0,NA,NA,NA,NA
"F-082",2021-07-09,"CROOKR","R2",1175,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","4",0,0,0,0,NA,NA,NA,NA
"F-084",2021-07-09,"HIGHLK-03","R1",1150,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","4",0,0,0,0,NA,NA,NA,NA
"F-085",2021-07-09,"HIGHLK-03","R2",1175,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","4",0,0,0,0,NA,NA,NA,NA
"F-087",2021-07-13,"BEARPD-01","R1",900,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","4",0,0,0,0,NA,NA,NA,NA
"F-088",2021-07-13,"BEARPD-01","R2",1000,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","4",0,0,0,0,NA,NA,NA,NA
"F-089",2021-07-13,"BEARPD-02","R1",1000,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","4",0,0,0,0,NA,NA,NA,NA
"F-090",2021-07-13,"BEARPD-02","R2",1150,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","4",0,0,0,0,NA,NA,NA,NA
"F-097",2021-07-15,"SEBAGO-06","R1",1075,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","5",0,0,0,0,NA,NA,NA,NA
"F-098+F-099",2021-07-15,"SEBAGO-06","R2",1000,"Yes","2021","N","",999,999,999,999,NA,NA,NA,NA,"2 filters","5",0,0,0,0,NA,NA,NA,NA
"F-100",2021-07-15,"SEBAGO-01","R1",1100,"No","2021","N","",999,999,999,999,NA,NA,NA,NA,"","5",0,0,0,0,NA,NA,NA,NA
