"","R1","R2","R3","R4","R5"
"ANDROS",NA,NA,NA,NA,NA
"BARKER",NA,NA,NA,NA,NA
"BEARPD-01",NA,NA,NA,NA,NA
"BEARPD-02",NA,NA,NA,NA,NA
"BOOMBR",NA,NA,NA,NA,NA
"BRADPD-01",NA,NA,NA,NA,NA
"BRADPD-02",NA,NA,NA,NA,NA
"BROBRK",NA,NA,NA,NA,NA
"BUCKBR",NA,NA,NA,NA,NA
"BUFFBR",NA,NA,NA,NA,NA
"BURNPD-01",NA,NA,NA,NA,NA
"BURNPD-02",NA,NA,NA,NA,NA
"CARBRK",NA,NA,NA,NA,NA
"CHANBR",NA,NA,NA,NA,NA
"COLCPD-01",NA,NA,NA,NA,NA
"COLCPD-02",NA,NA,NA,NA,NA
"CRESLK-01",NA,NA,NA,NA,NA
"CRESLK-02",NA,NA,NA,NA,NA
"CRESLK-03",NA,NA,NA,NA,NA
"CROOKN",NA,NA,NA,NA,NA
"CROOKR",NA,NA,NA,NA,NA
"CROOKS",NA,NA,NA,NA,NA
"DINGLY",NA,NA,NA,NA,NA
"DUCKIN",NA,NA,NA,NA,NA
"DUCKNO",NA,NA,NA,NA,NA
"EDDYBR",NA,NA,NA,NA,NA
"GRTBRK",NA,NA,NA,NA,NA
"GWORKB",NA,NA,NA,NA,NA
"GWORKN",NA,NA,NA,NA,NA
"GWORKS",NA,NA,NA,NA,NA
"HEATH-01",NA,NA,NA,NA,NA
"HEATH-02",NA,NA,NA,NA,NA
"HIGHLK-02",NA,NA,NA,NA,NA
"HIGHLK-03",NA,NA,NA,NA,NA
"HIGHLK-04",NA,NA,NA,NA,NA
"INGALS-01",NA,NA,NA,NA,NA
"INGALS-02",NA,NA,NA,NA,NA
"JORDAN",NA,NA,NA,NA,NA
"JOSIES",NA,NA,NA,NA,NA
"KIMBAL",NA,0,NA,NA,NA
"LITTLR",NA,NA,NA,NA,NA
"MARBRK",NA,NA,NA,NA,NA
"MARRPD-01",NA,NA,NA,NA,NA
"MARRPD-02",NA,NA,NA,NA,NA
"MEADBR",NA,NA,NA,NA,NA
"MERRIL",NA,NA,NA,NA,NA
"MOSQPD",NA,NA,NA,NA,NA
"MUDNO",NA,NA,NA,NA,NA
"MUDSO",NA,NA,NA,NA,NA
"OCSACO",NA,NA,NA,NA,NA
"OSSIPE",NA,NA,NA,NA,NA
"OSSIPM",NA,NA,NA,NA,NA
"OSSIPR",NA,NA,NA,NA,NA
"OTTER-01",NA,NA,NA,NA,NA
"OTTER-02",NA,NA,NA,NA,NA
"PANTHR-01",NA,NA,NA,NA,NA
"PANTHR-02",NA,NA,NA,NA,NA
"PANTHR-03",NA,NA,NA,NA,NA
"PISCAT",NA,NA,NA,NA,NA
"PISCDN",NA,NA,NA,NA,NA
"PISCUP",NA,NA,NA,NA,NA
"PRESBG",NA,NA,NA,NA,NA
"PRESUM-01",1,NA,NA,NA,NA
"PRESUM-02",1,NA,NA,NA,NA
"PROCPD-01",NA,NA,NA,NA,NA
"PROCPD-02",NA,NA,NA,NA,NA
"RACHEL",NA,NA,NA,NA,NA
"RANGE-01",NA,NA,NA,NA,NA
"RANGE-02",NA,NA,NA,NA,NA
"REDBRK",NA,NA,NA,NA,NA
"RIDGEB",NA,NA,NA,NA,NA
"ROYAL",NA,NA,NA,NA,NA
"SACONO-01",NA,NA,NA,NA,NA
"SACONO-02",NA,NA,NA,NA,NA
"SACONO-03",NA,NA,NA,NA,NA
"SACOSO",NA,NA,NA,NA,NA
"SEBAGO-01",NA,NA,NA,NA,NA
"SEBAGO-03",NA,NA,NA,NA,NA
"SEBAGO-04",NA,NA,NA,NA,NA
"SEBAGO-06",NA,NA,NA,NA,NA
"SFALLS",NA,NA,NA,NA,NA
"SHEPR",NA,NA,NA,NA,NA
"SOKOLK-01",NA,NA,NA,NA,NA
"SOKOLK-02",NA,NA,NA,NA,NA
"SOKOLK-03",NA,NA,NA,NA,NA
"SOPER",NA,NA,NA,NA,NA
"SPECPD",NA,NA,NA,NA,NA
"STANPD-01",NA,NA,NA,NA,NA
"STANPD-02",NA,NA,NA,NA,NA
"SYMMES-01",NA,NA,NA,NA,NA
"SYMMES-02",NA,NA,NA,NA,NA
"TRAFPD-01",NA,NA,NA,NA,NA
"WATBRK",NA,NA,NA,NA,NA
