Waterbody,Site.No,Replicate,all_cq
BARKER,1,R1,1
BARKER,1,R2,1
BEARPD,1,R1,0
BEARPD,1,R2,0
BEARPD,2,R1,0
BEARPD,2,R2,0
BOOMBR,1,R1,0
BOOMBR,1,R2,0
BROBRK,1,R1,0
BROBRK,1,R2,0
BURNPD,1,R1,0
BURNPD,1,R2,0
BURNPD,2,R1,0
BURNPD,2,R2,0
CROOKR,1,R1,0
CROOKR,1,R2,0
GWORKB,1,R1,0
GWORKB,1,R2,0
GWORKN,1,R1,0
GWORKN,1,R2,0
GWORKS,1,R1,0
GWORKS,1,R2,1
HIGHLK,1,R1,0
HIGHLK,1,R2,0
HIGHLK,2,R1,0
HIGHLK,2,R2,0
HIGHLK,3,R1,1
HIGHLK,3,R2,0
JORDAN,1,R1,0
JORDAN,1,R2,0
JOSIES,1,R1,0
JOSIES,1,R2,0
KIMBAL,1,R1,1
KIMBAL,1,R2,1
LITTLR,1,R1,0
LITTLR,1,R2,0
MARBRK,1,R1,0
MARBRK,1,R2,0
OCSACO,1,R1,0
OCSACO,1,R2,0
OSSIPE,1,R1,0
OSSIPE,1,R2,0
OSSIPM,1,R1,1
OSSIPM,1,R2,0
PISCAT,1,R1,0
PISCAT,1,R2,0
PRESUM,1,R1,1
PRESUM,2,R1,1
PROCPD,1,R1,0
PROCPD,1,R2,0
PROCPD,2,R1,0
PROCPD,2,R2,0
SACONO,1,R1,0
SACONO,1,R2,0
SACONO,2,R1,0
SACONO,2,R2,0
SACONO,3,R1,0
SACONO,3,R2,0
SACONO,3,R3,0
SACONO,3,R4,1
SACONO,3,R5,1
SACOSO,1,R1,0
SACOSO,1,R2,0
SEBAGO,1,R1,0
SEBAGO,1,R2,1
SEBAGO,2,R1,0
SEBAGO,2,R2,0
SEBAGO,3,R1,0
SEBAGO,3,R2,0
SEBAGO,4,R1,0
SEBAGO,4,R2,0
SFALLS,1,R1,0
SFALLS,1,R2,0
SPECPD,1,R1,0
SPECPD,1,R2,0
STANPD,1,R1,0
STANPD,1,R2,0
STANPD,2,R1,0
STANPD,2,R2,0
TRAFPD,1,R1,0
TRAFPD,1,R2,0
WATBRK,1,R1,0
