Waterbody,Site.No,s1,s2,s3,s4,s5,s6,s7,s8
BARKER,1,0,1,0,NA,NA,NA,NA,NA
BEARPD,1,0,0,0,0,NA,NA,NA,NA
BEARPD,2,0,0,0,0,NA,NA,NA,NA
BOOMBR,1,0,0,0,0,0,0,0,0
BROBRK,1,0,0,0,0,NA,NA,NA,NA
BURNPD,1,0,0,0,0,NA,NA,NA,NA
BURNPD,2,0,0,0,0,NA,NA,NA,NA
CROOKR,1,0,0,0,0,0,0,0,0
GWORKB,1,0,0,0,0,0,0,0,0
GWORKN,1,0,0,0,0,0,0,0,0
GWORKS,1,0,0,0,0,0,0,0,0
HIGHLK,1,0,0,0,NA,NA,NA,NA,NA
HIGHLK,2,0,0,NA,NA,NA,NA,NA,NA
HIGHLK,3,1,1,0,NA,NA,NA,NA,NA
JORDAN,1,0,0,0,0,0,0,0,0
JOSIES,1,0,0,0,0,0,0,0,0
KIMBAL,1,0,0,0,0,1,NA,NA,NA
LITTLR,1,0,0,0,0,0,0,0,0
MARBRK,1,0,0,0,0,0,0,0,0
OCSACO,1,0,0,0,0,0,0,0,0
OSSIPE,1,0,0,0,0,0,1,NA,NA
OSSIPM,1,0,0,1,NA,NA,NA,NA,NA
PISCAT,1,0,0,0,0,0,0,NA,NA
PRESUM,1,1,NA,NA,NA,NA,NA,NA,NA
PRESUM,2,0,1,NA,NA,NA,NA,NA,NA
PROCPD,1,0,0,0,NA,NA,NA,NA,NA
PROCPD,2,0,0,0,0,0,NA,NA,NA
SACONO,1,0,0,0,0,NA,NA,NA,NA
SACONO,2,0,NA,NA,NA,NA,NA,NA,NA
SACONO,3,1,NA,NA,NA,NA,NA,NA,NA
SACOSO,1,0,0,0,0,0,0,0,0
SEBAGO,1,1,0,0,NA,NA,NA,NA,NA
SEBAGO,2,0,0,NA,NA,NA,NA,NA,NA
SEBAGO,3,0,0,NA,NA,NA,NA,NA,NA
SEBAGO,4,0,NA,NA,NA,NA,NA,NA,NA
SFALLS,1,1,1,0,NA,NA,NA,NA,NA
SPECPD,1,0,0,0,0,0,0,0,0
STANPD,1,0,0,NA,NA,NA,NA,NA,NA
STANPD,2,0,NA,NA,NA,NA,NA,NA,NA
TRAFPD,1,0,0,0,0,0,0,NA,NA
WATBRK,1,0,0,0,0,0,0,0,0
