,BDS.pres,Size
BARKER,Present,Headwater
BEARPD,Absent,Creek
BOOMBR,Absent,Headwater
BROBRK,Absent,Headwater
BURNPD,Absent,Creek
CROOKR,Absent,Small river
GWORKB,Absent,Creek
GWORKS,Absent,Creek
HIGHLK,Present,Creek
JORDAN,Absent,Creek
JOSIES,Absent,Creek
KIMBAL,Present,Creek
LITTLR,Absent,Small river
MARBRK,Absent,Creek
OCSACO,Absent,Small river
OSSIPE,Present,Medium tributary river
OSSIPM,Present,Medium tributary river
PISCAT,Absent,Creek
PRESUM,Present,Medium tributary river
PROCPD,Absent,Creek
SACONO,Present,Medium tributary river
SACOSO,Absent,Medium mainstem river
SEBAGO,Present,Medium tributary river
SFALLS,Present,Small river
SPECPD,Absent,Creek
STANPD,Absent,Creek
TRAFPD,Absent,Headwater
WATBRK,Absent,Creek
